Hour,Bar
0.0,235.01275697235775
1.0,244.44175228336465
2.0,248.80106504723727
3.0,246.6698738594701
4.0,250.2322357707867
5.0,147.39259921747208
6.0,141.53076279609166
7.0,144.6014309852284
8.0,246.23315702971712
9.0,244.73663941385706
10.0,258.9656936915743
11.0,251.848158392011
12.0,259.4227571148289
13.0,241.43812049260808
14.0,245.40339046153483
15.0,256.45611574530517
16.0,260.2692343740599
17.0,258.58681374545574
18.0,247.51867523975332
19.0,260.0810676926817
20.0,253.49396500972594
21.0,247.80636320978812
22.0,261.2669220886826
23.0,262.1756076295289
